query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,0,False,0.6000068120000002
2,ming,180939,0,False,53.996627765
3,ming,1000000,0,False,310.091185411
4,ming,633443,0,False,228.68421822099998
5,ming,180939,0,False,48.44647761800002
6,ming,1,0,False,0.0003244819999963511
7,ming,3,0,False,0.004829806999964603
8,ming,152340,0,False,47.42572612599997
9,ming,2,1,True,0.0021439429999645654
10,ming,1000000,0,False,385.17676700999993
11,ming,3,0,False,0.012240804999919419
12,ming,1,0,False,0.00033900599987646274
13,ming,1,0,False,0.0002450279998811311
14,ming,180939,0,False,48.157690152999976
15,ming,621392,0,False,208.08486365999988
16,ming,2,1,True,0.015836514000056923
17,ming,180939,0,False,45.63900996999996
18,ming,180939,0,False,42.08671456999991
19,ming,2,1,True,0.022062674000153493
20,ming,2,1,True,0.0039337219998287765
21,ming,180939,0,False,42.85503080900003
22,ming,1000000,0,False,259.86072812099997
23,ming,2,1,True,0.0034898480000720156
24,ming,633442,0,False,190.90144260400007
25,ming,2,1,True,0.004941987000165682
26,ming,180939,0,False,42.923015908000025
27,ming,2,0,False,0.004673393999837572
28,ming,3,0,False,0.0059342340000512195
29,ming,333553,0,False,77.6233263590002
30,ming,3,0,False,0.012022005000062563
31,ming,5223,0,False,1.333834920000072
32,ming,180939,0,False,37.73440020899989
33,ming,1000000,0,False,320.17461217400023
34,ming,10628,0,False,3.2968019220002134
35,ming,21258,0,False,5.681910466999852
36,ming,179327,0,False,51.18380069399973
37,ming,1000000,0,False,295.8126431520004
38,ming,2,1,True,0.003959405999921728
39,ming,1,0,False,0.00025901499975589104
40,ming,1000000,0,False,301.3501466830003
41,ming,2,1,True,0.007438682000156405
42,ming,3,0,False,0.009379284999795345
43,ming,1,0,False,0.0010988349999934144
44,ming,32,3,True,0.0783972439999161
45,ming,3,0,False,0.009129735999977129
46,ming,1000000,0,False,284.38118133000035
47,ming,3,0,False,0.009526749000087875
48,ming,1000000,0,False,316.4164475560001
49,ming,346171,0,False,114.43418640400023
50,ming,2,1,True,0.00354597300020032
51,ming,2,0,False,0.003533247000177653
52,ming,2,1,True,0.012656329000037658
53,ming,2,1,True,0.0031342279999080347
54,ming,1,0,False,0.000756721000016114
55,ming,2,1,True,0.003036530000372295
56,ming,621403,0,False,185.390944665
57,ming,386185,0,False,123.46166886899982
58,ming,180939,0,False,38.7592376030002
59,ming,3,0,False,0.01039933399988513
60,ming,2,1,True,0.007081753000420576
61,ming,2,1,True,0.015249726000547525
62,ming,3,0,False,0.0048017369999797666
63,ming,3,0,False,0.0038975829993432853
64,ming,3,0,False,0.004830959999708284
65,ming,318251,0,False,79.18753490399922
66,ming,3,0,False,0.005363901000237092
67,ming,3,0,False,0.004536071999609703
68,ming,1000000,0,False,272.87501806
69,ming,3,0,False,0.005686211000465846
70,ming,180939,0,False,40.569249236999894
71,ming,26836,0,False,6.082506240999464
72,ming,180939,0,False,34.027493349
73,ming,4,0,False,0.03356709000036062
74,ming,2,1,True,0.016421273000560177
75,ming,584743,0,False,126.32551283500015
76,ming,3,0,False,0.0036881930000163266
77,ming,1000000,0,False,234.19044554899938
78,ming,2,1,True,0.020575442000335897
79,ming,18292,0,False,3.9846715000003314
80,ming,180939,0,False,35.31547387200044
81,ming,3,0,False,0.008415670999966096
82,ming,180939,0,False,30.259190535000016
83,ming,180939,0,False,30.58490311800051
84,ming,4,0,False,0.013915912000811659
85,ming,1000000,0,False,230.72224538299997
86,ming,235287,0,False,72.70966689499983
87,ming,549569,0,False,102.57015510899964
88,ming,2,1,True,0.005112609999741835
89,ming,2,1,True,0.00652025199997297
90,ming,180939,0,False,32.828860906000045
91,ming,105515,0,False,21.97406607799985
92,ming,356034,0,False,82.14911401399968
93,ming,1,0,False,0.0012546240004667197
94,ming,637290,0,False,138.4989380750003
95,ming,2,1,True,0.0013222569996287348
96,ming,115800,0,False,22.538224455999625
97,ming,117,4,True,0.06048374399961176
98,ming,3,0,False,0.0020318030001362786
99,ming,3,0,False,0.00046185900009731995
100,ming,2,0,False,0.0064548410000497825
