goal	rule	score
p7(X0, X1)	p7(a24, a12)	1
p6(X0, X1, X2)	p6(a0, a28, a34)	1
p9(X0)	p9(a10)	1
p0(X0, X4)	p0(a23, a44)	1
p4(X0, a13)	p4(a17, a13)	1
p9(a65)	p9(a65)	1
p5(a45, X4)	p5(a45, a0)	1
p2(a0, a16)	p2(X6, X3) :- p3(X3, X6)	1
p7(X8, X4)	p7(a11, a16)	1
p1(a81, X0, X1)	p1(a81, a21, a83)	1
p2(X3, X7)	p2(a96, a28)	1
p5(X7, X0)	p5(a41, a0)	1
p9(X1)	p9(a65)	1
p1(X0, X1, X4)	p1(a0, a87, a36)	1
p0(X0, X3)	p0(a2, a4)	1
p3(X0, X7)	p3(a16, a14)	1
p5(X4, X1)	p5(a28, a42)	1
p0(X3, a16)	p0(a43, a16)	1
p1(X0, X1, X5)	p1(a1, a15, a98)	1
p8(X0, X3)	p8(a91, a0)	1
p7(a59, X0)	p7(a59, a39)	1
p0(X5, X0)	p0(a24, a46)	1
p5(a88, X0)	p5(X7, X5) :- p1(X7, X2, X5)	1
p5(a27, X0)	p5(X7, X5) :- p1(X7, X2, X5)	1
p3(X0, X8)	p3(a38, a83)	1
p7(X6, X0)	p7(a40, a13)	1
p1(X0, X6, X7)	p1(a14, a3, a0)	1
p0(X0, X3)	p0(a21, a75)	1
p1(X0, X1, X4)	p1(a10, a0, a10)	1
p0(X0, X1)	p0(a12, a57)	1
p3(X0, X6)	p3(a54, a13)	1
p2(a71, X8)	p2(a71, a61)	1
p0(X0, X4)	p0(a63, a80)	1
p1(X0, X2, X9)	p1(a28, a14, a54)	1
p7(X7, X6)	p7(a59, a39)	1
p9(X6)	p9(a45)	1
p0(X2, X0)	p0(a13, a78)	1
p2(X3, X7)	p2(a25, a17)	1
p5(X0, X4)	p5(a1, a0)	1
p8(X0, X1)	p8(a0, a49)	1
p0(X0, X4)	p0(a51, a45)	1
p7(a72, X0)	p7(X4, X8) :- p1(X0, X8, X4)	1
p1(X0, X4, X8)	p1(a85, a0, a40)	1
p8(X0, X1)	p8(a27, a66)	1
p1(X0, X4, X2)	p1(a44, a23, a79)	1
p3(X0, X7)	p3(a56, a11)	1
p5(X2, X0)	p5(a36, a15)	1
p3(a33, X0)	p3(a33, a70)	1
p9(X6)	p9(X0) :- p7(a14, X0)	1
p1(X0, X1, a73)	p1(a29, a78, a73)	1
p5(X7, X0)	p5(a0, a73)	1
p0(X0, X7)	p0(a84, a16)	1
p5(X0, a10)	p5(a63, a10)	1
p7(X2, X0)	p7(a14, a10)	1
p0(X0, a42)	p0(a50, a42)	1
p1(X6, X0, X1)	p1(a88, a4, a17)	1
p7(X0, X1)	p7(a16, a2)	1
p9(X2)	p9(a85)	1
p3(a11, a36)	p3(a11, a36)	1
p0(X5, X0)	p0(a0, a53)	1
p3(X0, X1)	p3(a22, a80)	1
p1(X2, X0, X1)	p1(a10, a35, a0)	1
p7(X5, X1)	p7(a35, a78)	1
p1(X4, X0, X1)	p1(a85, a0, a40)	1
p1(X0, X8, a48)	p1(a27, a98, a48)	1
p0(X0, X4)	p0(a50, a53)	1
p1(X0, X4, X8)	p1(a0, a58, a38)	1
p3(X0, X2)	p3(a10, a14)	1
p3(X7, X0)	p3(a16, a14)	1
p1(X0, X2, X9)	p1(a10, a0, a10)	1
p1(X0, X2, X9)	p1(a88, a4, a17)	1
p1(X0, X6, X7)	p1(a7, a14, a72)	1
p7(X2, X0)	p7(a34, a15)	1
p2(X2, X4)	p2(a75, a0)	1
p0(X0, X4)	p0(a10, a65)	1
p3(X8, X0)	p3(a22, a80)	1
p8(X0, X3)	p8(a12, a93)	1
p0(X0, X7)	p0(a93, a0)	1
