query,e100 reasoner,e100 nodes explored,e100 min depth,success,time
1,e100,2,1,True,0.5917285550000004
2,e100,7,6,True,0.09249183199999944
3,e100,2,1,True,0.0074282449999998335
4,e100,2,1,True,0.03355953300000003
5,e100,93070,6,True,58.663627089
6,e100,2,1,True,0.03008988099999499
7,e100,2,1,True,0.029970164000005184
8,e100,1000000,0,False,552.153067697
9,e100,2,1,True,0.007081156000026567
10,e100,3,2,True,0.008200750000014523
11,e100,1000000,0,False,549.651701083
12,e100,1000000,0,False,239.18294142600007
13,e100,7,6,True,0.1467627120000543
14,e100,16,5,True,0.1321184030000495
15,e100,3,2,True,0.003989993000004688
16,e100,649586,4,True,194.34958017300005
17,e100,2,1,True,0.00983959700010928
18,e100,2,1,True,0.04174324399991747
19,e100,2,1,True,0.025639941000008548
20,e100,2,1,True,0.030728317999773935
21,e100,7,4,True,0.023943158000065523
22,e100,3,2,True,0.019072262000008777
23,e100,2,1,True,0.056877723000070546
24,e100,2,1,True,0.005101533000015479
25,e100,5,4,True,0.04861422700014373
26,e100,2,1,True,0.002474761000030412
27,e100,2,1,True,0.03033988800007137
28,e100,3,2,True,0.004965736000031029
29,e100,5,3,True,0.009488966999924742
30,e100,3,2,True,0.00884152699995866
31,e100,1000000,0,False,631.9910486869999
32,e100,3,2,True,0.008645197000078042
33,e100,2,1,True,0.014600606999920274
34,e100,3,2,True,0.005389540000123816
35,e100,279334,4,True,147.51159389700024
36,e100,1000000,0,False,91.63504757100009
37,e100,2,1,True,0.034593029000006936
38,e100,4,2,True,0.05335946299965144
39,e100,3,2,True,0.009534407000046485
40,e100,2,1,True,0.12594207099982668
41,e100,2,1,True,0.10760146000029636
42,e100,3,2,True,0.008315566999954171
43,e100,2,1,True,0.08805871000004117
44,e100,2,1,True,0.11576473700006318
45,e100,2,1,True,0.08832996399996773
46,e100,1036,3,True,28.841144289000113
47,e100,4,3,True,0.029509862999930192
48,e100,2,1,True,0.013944470999831537
49,e100,2,1,True,0.0057036429998333915
50,e100,2,1,True,0.06277028299973608
51,e100,2,1,True,0.0698569099999986
52,e100,6,5,True,0.06899290199999086
53,e100,7,6,True,0.06688389200007805
54,e100,5,4,True,0.08745223200003238
55,e100,2,1,True,0.009060540000064066
56,e100,7,6,True,0.1190369930000088
57,e100,3,2,True,0.01161815299974478
58,e100,2,1,True,0.014181979000113643
59,e100,4,3,True,0.011091538000073342
60,e100,3,2,True,0.007371318999958021
61,e100,32157,6,True,19.298939221000182
62,e100,3,2,True,0.005618614000013622
63,e100,2,1,True,0.0049151059997711855
64,e100,1000000,0,False,358.54810005599984
65,e100,2,1,True,0.009185272999729932
66,e100,4,3,True,0.045875760999933846
67,e100,6,5,True,0.06474593100028869
68,e100,2,1,True,0.0022348690004037053
69,e100,9,8,True,0.12874714300005508
70,e100,6,5,True,0.015693242999986978
71,e100,3,2,True,0.0027736609999919892
72,e100,22,3,True,0.06500270700007604
73,e100,4,3,True,0.020761958000093728
74,e100,2,1,True,0.007697852000092098
75,e100,1000000,0,False,451.6790835359998
76,e100,3,2,True,0.015101140999831841
77,e100,3,2,True,0.01386560599985387
78,e100,2,1,True,0.005505457000253955
79,e100,2,1,True,0.08178600600012942
80,e100,3,2,True,0.015088003000073513
81,e100,3,2,True,0.006011012000271876
82,e100,1000000,0,False,254.880030712
83,e100,2,1,True,0.034295719000056124
84,e100,6,5,True,0.21182949399963036
85,e100,2,1,True,0.034099577000233694
86,e100,2,1,True,0.0025344410000798234
87,e100,3,2,True,0.002921960000094259
88,e100,2,1,True,0.029550484000083088
89,e100,2,1,True,0.0033415519997106458
90,e100,1000000,0,False,272.5551363459999
91,e100,6,5,True,0.07356158099992172
92,e100,3,2,True,0.003868035999857966
93,e100,5,4,True,0.043175132000214944
94,e100,2,1,True,0.027699136000137514
95,e100,8,4,True,0.0954408800002966
96,e100,5,4,True,0.0691180699996039
97,e100,3,2,True,0.006080585000290739
98,e100,3,2,True,0.005575456999849848
99,e100,2,1,True,0.002113241999722959
100,e100,2,1,True,0.03274961600027382
